grid_id,poi_density,cluster
532,3.9092966346838436,0
533,0.0,1
534,0.0,1
535,0.0,1
536,0.0,1
537,0.0,1
538,0.0,1
539,0.0,1
540,0.0,1
541,0.0,1
542,0.0,1
543,0.0,1
544,0.0,1
545,0.0,1
546,0.0,1
547,0.0,1
548,0.0,1
549,0.0,1
550,0.0,1
551,0.0,1
552,29.926776676909217,0
553,6.506786602442935,0
554,19.523257731517518,0
555,46.86277637532876,3
556,1.3019371388169672,1
557,3.906391701868096,0
558,46.88366665105134,3
559,45.58811802626933,3
560,204.52567724956467,2
561,161.56022746053983,3
562,18.24338429519127,0
563,0.0,1
564,0.0,1
565,0.0,1
566,0.0,1
567,0.0,1
568,0.0,1
569,0.0,1
570,1.3046522314176172,1
571,0.0,1
572,0.0,1
573,0.0,1
574,0.0,1
575,0.0,1
576,0.0,1
577,0.0,1
578,0.0,1
579,0.0,1
580,6.503891011948314,0
581,15.611653967750838,0
582,67.66053857379775,3
583,16.917645166309637,0
584,104.12404123463085,3
585,66.38893319829998,3
586,246.06611923610126,2
587,49.48096155690371,3
588,50.79063887184612,3
589,24.747835499959407,0
590,444.2245601402223,2
591,303.57687901784055,2
592,44.30536185969517,3
593,0.0,1
594,0.0,1
595,0.0,1
596,0.0,1
597,0.0,1
598,0.0,1
599,0.0,1
600,0.0,1
601,0.0,1
602,0.0,1
603,0.0,1
604,0.0,1
605,0.0,1
606,0.0,1
607,0.0,1
608,6.501962562122749,0
609,28.6128770079754,0
610,334.2999980147654,2
611,33.8252502635231,0
612,78.06985220063274,3
613,110.61537224152988,3
614,0.0,1
615,3.9052313646107297,0
616,5.207748555267869,0
617,57.29374496073207,3
618,104.1859258912252,3
619,54.70574163152319,3
620,83.37352448389898,3
621,0.0,1
622,0.0,1
623,0.0,1
624,0.0,1
625,0.0,1
626,0.0,1
627,0.0,1
628,0.0,1
629,0.0,1
630,0.0,1
631,0.0,1
632,0.0,1
633,1.2994296470815756,1
634,1.299622064847716,1
635,5.19925824098041,0
636,0.0,1
637,3.90059935204447,0
638,59.81805557152929,3
639,45.52048614905177,3
640,270.5618660975533,2
641,59.844673543156254,3
